"tuning_time","measurement","gpu","kernel","time","size"
103.389828,1.22413929303,"GTX-980","lavaMD-original","3600","default"
1018.82697,1.22380892436,"GTX-980","lavaMD-original","3600","default"
1449.129187,1.21921364466,"GTX-980","lavaMD-original","3600","default"
2052.996558,1.21880030632,"GTX-980","lavaMD-original","3600","default"
0.597506,9999,"GTX-980","lavaMD-original","60","default"
0.572739,9999,"GTX-980","lavaMD-original","60","default"
8.932076,1.27280092239,"GTX-980","lavaMD-original","7200","default"
17.623532,1.26138965289,"GTX-980","lavaMD-original","7200","default"
26.395271,1.25842364629,"GTX-980","lavaMD-original","7200","default"
43.94141,1.24724706014,"GTX-980","lavaMD-original","7200","default"
148.920003,1.23211367925,"GTX-980","lavaMD-original","7200","default"
700.417639,1.23149204254,"GTX-980","lavaMD-original","7200","default"
910.377569,1.22688023249,"GTX-980","lavaMD-original","7200","default"
2120.280297,1.22480662664,"GTX-980","lavaMD-original","7200","default"
4836.414614,1.22381067276,"GTX-980","lavaMD-original","7200","default"
6.889036,0.607930660248,"GTX-980","lavaMD","120","default"
12.79137,0.399498065313,"GTX-980","lavaMD","120","default"
24.699863,0.397650241852,"GTX-980","lavaMD","120","default"
120.118656,0.39685233434,"GTX-980","lavaMD","120","default"
6.081934,0.399161974589,"GTX-980","lavaMD","7200","default"
29.707535,0.39864897728,"GTX-980","lavaMD","7200","default"
35.579088,0.394114414851,"GTX-980","lavaMD","7200","default"
47.48676,0.393814404806,"GTX-980","lavaMD","7200","default"
59.228533,0.389938751856,"GTX-980","lavaMD","7200","default"
82.799028,0.38946000735,"GTX-980","lavaMD","7200","default"
5.990134,0.39403629303,"GTX-980","lavaMD","7200","default"
1067.344165,0.392504692078,"GTX-980","lavaMD","7200","default"
8.913005,1.1959865888,"GTX-980","lud","7200","default"
17.119856,1.09285259247,"GTX-980","lud","7200","default"
24.874941,0.990744034449,"GTX-980","lud","7200","default"
96.995671,0.984921614329,"GTX-980","lud","7200","default"
290.207372,0.981722434362,"GTX-980","lud","7200","default"
790.130861,0.980724334717,"GTX-980","lud","7200","default"
1725.39882,0.980545361837,"GTX-980","lud","7200","default"
2884.214763,0.976291577021,"GTX-980","lud","7200","default"
43.221238,13.5808419387,"GTX-980","MatMulGPU","7200","8192"
75.794853,10.0151566664,"GTX-980","MatMulGPU","7200","8192"
138.790918,8.6511276563,"GTX-980","MatMulGPU","7200","8192"
167.195586,8.64902361234,"GTX-980","MatMulGPU","7200","8192"
