"tuned_measurement","gpu","kernel","time","size","olevel","baseline_measurement","id"
1.21526408195,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.21616292,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.25096917152,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.24207901955,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.21374201775,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.24936294556,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
1.24674105644,"GTX-980","lavaMD-original","3600","default","-1",NA,"benchmark"
0.00522613525391,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.0052809715271,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00489592552185,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00528788566589,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00469183921814,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.0053379535675,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00456213951111,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00495004653931,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00444912910461,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
0.00446581840515,"GTX-980","lavaMD-original","60","default","-1",NA,"benchmark"
1.24405002594,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.23215508461,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.26730394363,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.25448107719,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.25625991821,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.28131484985,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.26423811913,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
1.24827599525,"GTX-980","lavaMD-original","7200","default","-1",NA,"benchmark"
0.379683971405,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.392455101013,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.389573097229,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.386600017548,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.386467218399,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.388190031052,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.386245012283,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.38299703598,"GTX-980","lavaMD","120","default","-1",NA,"benchmark"
0.39799118042,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.390997886658,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.409586906433,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.387518167496,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.391669988632,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.392866849899,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.409696817398,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.391799926758,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.419000148773,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.39458823204,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.397915840149,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.391478061676,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.384961128235,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.390833854675,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.387917041779,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
0.390393018723,"GTX-980","lavaMD","7200","default","-1",NA,"benchmark"
1.03073787689,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.99365401268,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.97367811203,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.998878002167,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.967772006989,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.984756231308,"GTX-980","lud","7200","default","-1",NA,"benchmark"
1.00201511383,"GTX-980","lud","7200","default","-1",NA,"benchmark"
0.961797952652,"GTX-980","lud","7200","default","-1",NA,"benchmark"
