"measurement","gpu","kernel","time","size","olevel","id"
0.0607481002808,"GTX-680","MatMulGPU","3600","128","-1","benchmark"
0.0512881278992,"GTX-680","MatMulGPU","3600","128","-1","benchmark"
0.0497059822083,"GTX-680","MatMulGPU","3600","128","-1","benchmark"
0.0491960048676,"GTX-680","MatMulGPU","3600","128","-1","benchmark"
0.0494270324707,"GTX-680","MatMulGPU","3600","128","-1","benchmark"
0.0702211856842,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0697901248932,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0689108371735,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.064257144928,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0626029968262,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0622589588165,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.061882019043,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0627920627594,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0630469322205,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0640959739685,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.07084608078,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0649528503418,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0622589588165,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0622248649597,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0640320777893,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0637300014496,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0706560611725,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0668649673462,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0736918449402,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0701189041138,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0711939334869,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0629172325134,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0618238449097,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0642549991608,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0627961158752,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0616948604584,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0621559619904,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0631999969482,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0633640289307,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0629830360413,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0727899074554,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0622551441193,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0637671947479,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0680158138275,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0699141025543,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0658230781555,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0691289901733,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0626440048218,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0643639564514,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.0613598823547,"GTX-680","MatMulGPU","3600","256","-1","benchmark"
0.11997795105,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.123628139496,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.123383998871,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.118762969971,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115936994553,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115089893341,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115576028824,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.11420083046,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115145921707,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115060091019,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114413022995,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115133047104,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114773035049,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.113394975662,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.116762161255,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.122987985611,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.122110128403,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.117376089096,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.121942043304,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.116509199142,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.118869066238,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.116288900375,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114486217499,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114372014999,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115046977997,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.115190982819,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.116005182266,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114763975143,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114014863968,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114908218384,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.116364955902,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.11456489563,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.114296913147,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.121950864792,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.123785018921,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.130224943161,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.127156019211,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.123148918152,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.121889829636,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.113892793655,"GTX-680","MatMulGPU","3600","512","-1","benchmark"
0.319072961807,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.315196990967,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.315999031067,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.314322948456,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321548938751,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.31517291069,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.320842981339,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.319360971451,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.316064119339,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.316051006317,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321253061295,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321470975876,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321902990341,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.319506883621,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.32111787796,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321604013443,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.316772937775,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.330627918243,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.326315879822,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.31297492981,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.316030025482,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.31610918045,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.317531108856,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.320635080338,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.313596010208,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.318327903748,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.315036058426,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.313902854919,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.314023017883,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.318994045258,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.315629005432,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.321415185928,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.314613103867,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.313372135162,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.315028905869,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.312916040421,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.320368051529,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.31716299057,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.327539920807,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.32018494606,"GTX-680","MatMulShared","3600","1024","-1","benchmark"
0.0511729717255,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.051255941391,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0485110282898,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0514631271362,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0515069961548,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0501658916473,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0519890785217,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0507991313934,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0509679317474,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512340068817,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0506370067596,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512008666992,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0513229370117,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0505800247192,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0510721206665,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0513379573822,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512340068817,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0508198738098,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0508279800415,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.050843000412,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0492708683014,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512309074402,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0509037971497,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0507550239563,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512640476227,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.050891160965,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0512602329254,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0507609844208,"GTX-680","MatMulShared","3600","128","-1","benchmark"
0.0508530139923,"GTX-680","MatMulShared","3600","128","-1","benchmark"
